HostID,HostSp,Longitude,Latitude,Year,TL,SL,Clav.mariae,Cope.chalimis,Cope.maca,Cope_sp2,Acanth.dojirii,Ocean.pallida,Metacercaria_sp2,Metacercaria_sp1,Trypano,Acanth.Corn.Echino,D_varicus,T_lindbergi,L_calli,C_annulatus,Contracaecum,Contracaecum_sp2,Trem_sp1,Trem_sp2,Trem_sp3,C_parophrysi,Spirurid_sp1,Spirurid_sp2,Oxyurid_sp1,Immature_trem,Unknown_nem,Unknown_trem,Cyst_nem
UW 026120,Parophrys vetulus,-122.4965,47.95466,1977,224,200,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,1,0,0,0,0,0,0,1,0,0
UW 026121,Parophrys vetulus,-122.4243,47.7007,1983,147,120,0,0,0,0,0,0,0,1,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
UW 026122,Parophrys vetulus,-122.7658,47.1413,1987,195,164,6,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,1,0,0
UW 026131_01,Parophrys vetulus,-122.5249,48.04189,1978,245,205,0,0,0,0,1,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 026131_02,Parophrys vetulus,-122.5249,48.04189,1978,211,175,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0
UW 026131_03,Parophrys vetulus,-122.5249,48.04189,1978,262,220,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 041646,Parophrys vetulus,-122.4243,47.7007,1982,231,191,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0
UW 047658_01,Parophrys vetulus,-122.377,47.6103,2003,208,178,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,7,0,0,0,0,0,0,0
UW 048204 HSP 026,Parophrys vetulus,-122.4991667,47.71666667,2003,229,193,0,0,0,0,0,0,1,19,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1
UW 048204 HSP 028,Parophrys vetulus,-122.4991667,47.71666667,2003,250,205,0,0,0,0,1,0,1,2,0,0,0,0,0,24,0,0,0,0,0,14,0,0,0,0,1,0,3
UW 048204 HSP 029,Parophrys vetulus,-122.4991667,47.71666667,2003,240,205,1,0,0,0,0,0,1,2,0,0,0,0,0,136,0,0,0,0,0,6,0,0,0,0,0,0,3
UW 048204 HSP 033,Parophrys vetulus,-122.4991667,47.71666667,2003,238,202,4,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,249
UW 048204 HSP 034,Parophrys vetulus,-122.4991667,47.71666667,2003,235,198,1,0,0,0,0,0,1,4,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 048204 HSP 036,Parophrys vetulus,-122.4991667,47.71666667,2003,231,199,7,0,0,0,0,0,1,1,0,1,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,9
UW 048602_01,Parophrys vetulus,-122.4509,47.58291,1988,187,158,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
UW 10394_01,Parophrys vetulus,-122.4045,47.91081,1952,133,111,0,0,0,0,0,0,0,0,0,6,0,0,8,0,4,0,11,0,0,0,0,0,0,0,1,3,0
UW 10394_02,Parophrys vetulus,-122.4045,47.91081,1952,142,116,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
UW 10394_03,Parophrys vetulus,-122.4045,47.91081,1952,146,124,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,2,0,0
UW 110080,Parophrys vetulus,-123.0228,48.1329,1983,220,187,2,0,0,1,0,0,0,0,0,3,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0
UW 110086_01,Parophrys vetulus,-122.4391,47.49616,1982,107,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 110118_01,Parophrys vetulus,-122.5603,48.6979,1987,113,96,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
UW 110312_01,Parophrys vetulus,-122.4054,47.61267,1992,184,152,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0
UW 110322_01,Parophrys vetulus,-122.8514,48.039264,1992,202,164,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
UW 110373_01,Parophrys vetulus,-122.5249,48.04189,1992,194,162,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 110373_02,Parophrys vetulus,-122.5249,48.04189,1992,164,134,0,0,0,0,0,0,0,72,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 110373_03,Parophrys vetulus,-122.5249,48.04189,1992,142,124,0,0,0,0,0,0,1,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0
UW 110373_04,Parophrys vetulus,-122.5249,48.04189,1992,215,181,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 110373_05,Parophrys vetulus,-122.5249,48.04189,1992,142,116,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 110373_06,Parophrys vetulus,-122.5249,48.04189,1992,119,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 110373_07,Parophrys vetulus,-122.5249,48.04189,1992,153,125,0,4,0,0,0,0,1,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 111168_01,Parophrys vetulus,-122.4601,47.66411,1975,150,127,0,0,0,0,0,0,1,1,0,0,0,0,0,69,0,0,0,0,39,0,0,0,0,0,0,0,0
UW 111197,Parophrys vetulus,-122.4601,47.66411,1975,153,131,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 112208_01,Parophrys vetulus,-122.5022,47.66807,1993,138,117,0,0,0,0,0,5,0,0,0,1,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0
UW 112218,Parophrys vetulus,-122.5022,47.66807,1993,151,128,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 112224,Parophrys vetulus,-122.5022,47.66807,1993,123,108,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0
UW 1133_01,Parophrys vetulus,-122.9941,48.54748,1930,126,107,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 115033_01,Parophrys vetulus,-122.6472,47.5463,2006,153,130,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 1177_01,Parophrys vetulus,-122.9941,48.54748,1930,122,103,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
UW 1177_02,Parophrys vetulus,-122.9941,48.54748,1930,109,91,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 119958,Parophrys vetulus,-122.9941,48.54748,2008,194,170,0,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0
UW 119982_01,Parophrys vetulus,-122.9941,48.54748,2008,191,162,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 119985_01,Parophrys vetulus,-122.9941,48.54748,2008,200,167,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 119986_01,Parophrys vetulus,-122.9941,48.54748,2008,191,162,0,0,0,0,0,0,0,0,0,1,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0
UW 151702_06,Parophrys vetulus,-122.9941,48.54748,2007,164,137,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
UW 151702_07,Parophrys vetulus,-122.9941,48.54748,2007,134,111,0,0,0,0,0,0,1,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 151702_08,Parophrys vetulus,-122.9941,48.54748,2007,140,117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 152939_01,Parophrys vetulus,-122.9941,48.54748,2013,122,118,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
UW 153575,Parophrys vetulus,-122.9941,48.54748,2013,137,114,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 153582_2,Parophrys vetulus,-122.9941,48.54748,2013,248,210,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 154470_01,Parophrys vetulus,-122.9941,48.54748,2007,137,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0
UW 155822,Parophrys vetulus,-122.22769,47.9877331,2015,118,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 155826_01,Parophrys vetulus,-122.22769,47.9877331,2015,122,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UW 155836_01,Parophrys vetulus,-122.22769,47.9877331,2015,129,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 158625_01,Parophrys vetulus,-122.9941,48.54748,2018,173,147,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
UW 158630_01,Parophrys vetulus,-122.9941,48.54748,2018,199,165,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
UW 158630_02,Parophrys vetulus,-122.9941,48.54748,2018,139,114,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0
UW 158631_01,Parophrys vetulus,-122.9941,48.54748,2018,143,124,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 15961_01,Parophrys vetulus,-122.9941,48.54748,1960,117,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0
UW 16589,Parophrys vetulus,-122.4509,47.58291,1939,115,95,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 16616_01,Parophrys vetulus,-122.436,47.79898,1942,147,125,0,0,0,0,0,0,0,1,0,1,0,0,0,4,5,0,0,0,30,0,0,0,0,0,0,0,0
UW 16616_02,Parophrys vetulus,-122.436,47.79898,1942,204,167,0,0,0,0,0,0,1,1,0,2,2,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0
UW 16925,Parophrys vetulus,-122.4204,47.69277,1963,167,140,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,1,0,17
UW 17077_01,Parophrys vetulus,-122.9941,48.54748,1964,202,172,1,3,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,1,0,0
UW 17077_02,Parophrys vetulus,-122.9941,48.54748,1964,159,132,2,0,0,0,0,0,1,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
UW 17210_01,Parophrys vetulus,-122.9941,48.54748,1963,111,92,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
UW 17851_01,Parophrys vetulus,-122.861886,48.419029,1963,260,218,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 17851_02,Parophrys vetulus,-122.861886,48.419029,1963,276,226,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,1,1,0,0
UW 18222_01,Parophrys vetulus,-122.9941,48.54748,1963,117,98,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0
UW 2269_01,Parophrys vetulus,-122.9941,48.54748,1932,117,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
UW 2269_02,Parophrys vetulus,-122.9941,48.54748,1932,126,107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 40664_01,Parophrys vetulus,-122.7601,48.09012,1979,147,122,1,0,0,0,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
UW 4491_01,Parophrys vetulus,-122.4065,47.70962,1939,129,108,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0
UW 4495_01,Parophrys vetulus,-122.4065,47.70962,1939,203,169,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
UW 4579_01,Parophrys vetulus,-122.4112,47.67337,1939,125,105,0,0,0,0,0,0,0,2,0,0,0,0,2,31,1,0,0,0,0,0,0,0,0,0,1,0,0
UW 4614_01,Parophrys vetulus,-122.4112,47.67337,1939,160,135,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0
UW 4794_01,Parophrys vetulus,-122.3422,47.3531,1939,145,120,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1
UW 4827,Parophrys vetulus,-122.4509,47.58291,1941,113,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0
UW 48351_01,Parophrys vetulus,-122.4258,47.67915,1984,197,165,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UW 48351_02,Parophrys vetulus,-122.4258,47.67915,1984,152,130,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0
UW 48351_03,Parophrys vetulus,-122.4258,47.67915,1984,125,105,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0
UW 48351_04,Parophrys vetulus,-122.4258,47.67915,1984,162,134,0,0,0,0,0,0,1,1,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,1,0,1
UW 48587_01,Parophrys vetulus,-122.4243,47.7007,1990,193,163,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
UW 4885_01,Parophrys vetulus,-122.4509,47.58291,1941,204,171,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0
UW 4885_02,Parophrys vetulus,-122.4509,47.58291,1941,125,104,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
UW 4925_01,Parophrys vetulus,-122.436,47.79898,1941,195,163,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,0,0,0,0,7,0,0,0,0,0,0
UW 4925_02,Parophrys vetulus,-122.436,47.79898,1941,172,141,0,0,0,0,0,0,0,1,0,1,0,0,0,15,5,0,0,0,0,0,7,1,0,0,1,0,0
UW 5053_01,Parophrys vetulus,-122.3934,47.70623,1938,125,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0
UW 5441_01,Parophrys vetulus,-122.436,47.79898,1946,180,152,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 5468_01,Parophrys vetulus,-122.436,47.79898,1946,143,120,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,2,0,0
UW 5502,Parophrys vetulus,-122.436,47.79898,1947,125,103,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 5523_01,Parophrys vetulus,-122.436,47.79898,1947,179,146,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 5523_02,Parophrys vetulus,-122.436,47.79898,1947,153,129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 5523_03,Parophrys vetulus,-122.436,47.79898,1947,157,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW 5532,Parophrys vetulus,-122.3893,47.72017,1947,152,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
UW 5815,Parophrys vetulus,-122.7085,47.3266,1950,232,190,2,0,0,0,0,0,1,0,32,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0
UW 5829,Parophrys vetulus,-122.5583,47.71997,1950,130,111,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0
UW 6013_01,Parophrys vetulus,-122.4204,47.69277,1950,125,109,0,0,0,0,0,0,1,4,0,1,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0
UW 789_01,Parophrys vetulus,-122.4509,47.58291,1930,123,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0
UW 789_02,Parophrys vetulus,-122.4509,47.58291,1930,112,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
